refseq_id	SGD_id	conservation_level
NM_001180812.1	YDR504C	3
NM_001348819.1	YDR525W	4
NM_001180848.1	YDR540C	3
NM_001348823.1	YEL008W	4
NM_001348822.1	YEL009C-A	1
NM_001348821.1	YEL014C	4
NM_001348820.1	YEL028W	4
NM_001178848.1	YEL033W	4
NM_001178850.1	YEL035C	4
NM_001178872.1	YEL057C	4
NM_001178882.1	YEL067C	3
NM_001270743.1	YEL068C	4
NM_001178890.1	YEL075C	3
NM_001184456.1	YER014C-A	4
NM_001180023.1	YER044C-A	4
NM_001184548.3	YER078W-A	2
NM_001270744.1	YER084W	4
NM_001179011.3	YER121W	2
NM_001348826.1	YER135C	1
NM_001348827.1	YER145C-A	2
NM_001179036.1	YER146W	2
NM_001184589.1	YER175W-A	2
NM_001179076.3	YER186C	4
NM_001184633.1	YER188C-A	4
NM_001348829.1	YER188W	4
NM_001179079.3	YER189W	3
NM_001180024.1	YFL010W-A	3
NM_001179954.1	YFL012W	4
NM_001348832.1	YFL015C	3
NM_001348831.1	YFL019C	2
NM_001179899.1	YFL068W	3
NM_001184472.1	YFR012W-A	4
NM_001270745.1	YFR020W	3
NM_001179991.3	YFR026C	3
NM_001184591.1	YFR032C-B	4
NM_001180000.3	YFR035C	3
NM_001348833.1	YFR054C	2
NM_001184634.1	YGL006W-A	2
NM_001184592.3	YGL007C-A	4
NM_001348838.1	YGL007W	4
NM_001180880.3	YGL015C	4
NM_001348837.1	YGL034C	4
NM_001184550.1	YGL041C-B	3
NM_001180922.1	YGL057C	4
NM_001180973.3	YGL108C	4
NM_001180982.3	YGL117W	4
NM_001348835.1	YGL118C	3
NM_001348834.1	YGL149W	4
NM_001181033.1	YGL168W	3
NM_001181035.3	YGL170C	4
NM_001184593.3	YGL188C-A	2
NM_001181058.1	YGL193C	4
NM_001181096.1	YGL230C	4
NM_001181126.1	YGL260W	4
NM_001348839.1	YGR025W	4
NM_001184648.1	YGR035W-A	4
NM_001348840.1	YGR039W	4
NM_001348841.1	YGR045C	3
NM_001270748.1	YGR050C	3
NM_001184551.1	YGR121W-A	1
NM_001184594.1	YGR146C-A	4
NM_001181282.2	YGR153W	4
NM_001184675.3	YGR161W-C	4
NM_001181297.1	YGR168C	4
NM_001184595.3	YGR174W-A	1
NM_001184596.1	YGR204C-A	2
NM_001184552.1	YGR240C-A	2
NM_001348872.1	YHL005C	4
NM_001184649.1	YHL015W-A	1
NM_001348812.1	YHL037C	4
NM_001348807.1	YHL041W	3
NM_001184650.1	YHL048C-A	1
NM_001184651.1	YHR007C-A	3
NM_001179144.1	YHR014W	4
NM_001181428.1	YHR021W-A	3
NM_001184597.1	YHR022C-A	2
NM_001184652.1	YHR050W-A	4
NM_001184553.1	YHR086W-A	2
NM_001348818.1	YHR093W	4
NM_001348824.1	YHR125W	3
NM_001179256.1	YHR126C	4
NM_001348825.1	YHR130C	3
NM_001179266.1	YHR136C	4
NM_001348830.1	YHR139C-A	3
NM_001179288.1	YHR157W	4
NM_001270738.1	YHR173C	4
NM_001184554.1	YHR175W-A	2
NM_001348842.1	YHR180W	2
NM_001184671.1	YHR199C-A	4
NM_001184599.3	YHR213W-A	2
NM_001184600.1	YHR213W-B	3
NM_001184601.1	YHR214C-D	4
NM_001184602.3	YHR214C-E	4
NM_001179345.3	YHR214W	4
NM_001348845.1	YIL012W	4
NM_001270751.1	YIL054W	4
NM_001348844.1	YIL086C	3
NM_001179437.1	YIL089W	4
NM_001179440.3	YIL092W	4
NM_001179450.1	YIL102C	4
NM_001184555.1	YIL134C-A	2
NM_001179500.1	YIL152W	4
NM_001270749.1	YIL163C	4
NM_001270752.1	YIR020C	3
NM_001184656.1	YIR021W-A	3
NM_001181461.3	YJL027C	4
NM_001181462.1	YJL028W	2
NM_001181471.3	YJL037W	4
NM_001181472.1	YJL038C	4
NM_001184635.1	YJL047C-A	4
NM_001184476.1	YJL052C-A	4
NM_001181498.1	YJL065C	4
NM_001181510.1	YJL077C	3
NM_001184603.1	YJL077W-B	3
NM_001181551.1	YJL118W	4
NM_001184637.1	YJL136W-A	2
NM_001181577.1	YJL144W	4
NM_001181594.1	YJL161W	4
NM_001181618.1	YJL185C	4
NM_001181622.1	YJL189W	2
NM_001181650.1	YJL217W	4
NM_001181737.1	YJR079W	3
NM_001181766.1	YJR108W	4
NM_001181778.1	YJR120W	4
NM_001348848.1	YJR128W	3
NM_001270754.1	YJR146W	4
NM_001184556.1	YJR151W-A	1
NM_001184683.1	YKL023C-A	4
NM_001179589.4	YKL023W	4
NM_001179603.1	YKL037W	4
NM_001270755.1	YKL044W	4
NM_001184684.1	YKL065W-A	4
NM_001184604.1	YKL096C-B	1
NM_001348850.1	YKL097C	4
NM_001348849.1	YKL102C	3
NM_001184482.1	YKL106C-A	4
NM_001184557.1	YKL183C-A	2
NM_001348851.1	YKR032W	4
NM_001179831.1	YKR041W	4
NM_001348852.1	YKR073C	4
NM_001184559.1	YLL006W-A	4
NM_001181842.1	YLL022C	4
NM_001348853.1	YLL030C	3
NM_001181880.1	YLL060C	4
NM_001181917.1	YLR030W	4
NM_001181923.1	YLR036C	4
NM_001181929.1	YLR042C	4
NM_001181940.1	YLR053C	4
NM_001181969.1	YLR082C	4
NM_001348854.1	YLR111W	4
NM_001348855.1	YLR112W	4
NM_001348856.1	YLR122C	2
NM_001182012.1	YLR125W	4
NM_001182041.1	YLR154C	4
NM_001182043.1	YLR156W	1
NM_001182046.1	YLR159W	1
NM_001182048.1	YLR161W	1
NM_001182091.1	YLR204W	4
NM_001182111.1	YLR224W	4
NM_001348857.1	YLR236C	4
NM_001348858.1	YLR255C	2
NM_001184638.1	YLR264C-A	4
NM_001182152.1	YLR265C	4
NM_001184567.1	YLR285C-A	2
NM_001348859.1	YLR296W	4
NM_001182185.1	YLR297W	4
NM_001348860.1	YLR302C	4
NM_001182204.1	YLR315W	4
NM_001184569.1	YLR342W-A	2
NM_001180575.3	YLR346C	4
NM_001270756.1	YLR358C	1
NM_001184659.3	YLR361C-A	4
NM_001348862.1	YLR365W	2
NM_001184610.1	YLR406C-A	4
NM_001184570.3	YLR412C-A	4
NM_001182303.1	YLR415C	4
NM_001182341.3	YLR453C	4
NM_001184487.1	YML007C-A	4
NM_001182411.1	YML053C	4
NM_001184571.1	YML054C-A	3
NM_001184439.1	YML058W-A	4
NM_001184612.1	YML100W-A	3
NM_001348863.1	YML122C	4
NM_001184613.1	YMR001C-A	4
NM_001348864.1	YMR007W	4
NM_001184572.1	YMR030W-A	4
NM_001348865.1	YMR082C	4
NM_001348866.1	YMR103C	4
NM_001184614.1	YMR105W-A	3
NM_001348867.1	YMR122C	3
NM_001348868.1	YMR141C	2
NM_001182663.1	YMR159C	4
NM_001182681.1	YMR175W	4
NM_001184660.1	YMR175W-A	1
NM_001184615.1	YMR182W-A	2
NM_001184573.1	YMR230W-A	2
NM_001184616.1	YMR242W-A	4
NM_001182751.1	YMR244C-A	1
NM_001184661.1	YMR247W-A	2
NM_001182758.1	YMR251W-A	4
NM_001348870.1	YMR254C	2
NM_001184617.1	YMR272W-B	2
NM_001184618.1	YMR315W-A	1
NM_001270757.1	YMR316C-A	3
NM_001348871.1	YMR320W	2
NM_001182857.3	YNL018C	4
NM_001182858.3	YNL019C	4
NM_001182872.3	YNL033W	4
NM_001182873.1	YNL034W	4
NM_001182885.3	YNL046W	4
NM_001184639.3	YNL067W-A	4
NM_001184574.1	YNL130C-A	2
NM_001270759.1	YNL143C	3
NM_001184663.1	YNL146C-A	2
NM_001182984.3	YNL146W	4
NM_001182987.1	YNL149C	4
NM_001270758.1	YNL184C	3
NM_001183026.1	YNL188W	4
NM_001183107.1	YNL269W	2
NM_001184664.1	YNL277W-A	2
NM_001183251.1	YNR074C	4
NM_001184621.3	YNR075C-A	3
NM_001267862.1	YNR077C	4
NM_001183268.1	YOL014W	4
NM_001183269.1	YOL015W	4
NM_001184622.1	YOL019W-A	4
NM_001183278.1	YOL024W	4
NM_001184641.1	YOL038C-A	1
NM_001183307.1	YOL052C-A	4
NM_001348875.1	YOL085C	4
NM_001184665.1	YOL097W-A	4
NM_001348874.1	YOL118C	3
NM_001183385.1	YOL131W	4
NM_001184666.1	YOL155W-A	1
NM_001183412.1	YOL159C	4
NM_001184493.1	YOL159C-A	4
NM_001348873.1	YOL160W	2
NM_001183417.1	YOL164W	4
NM_001184575.1	YOL164W-A	1
NM_001184623.1	YOL166W-A	4
NM_001184305.1	YOR008C-A	1
NM_001184576.1	YOR011W-A	1
NM_001348876.1	YOR015W	3
NM_001348877.1	YOR029W	4
CRS5	YOR031W	4
NM_001184624.1	YOR032W-A	4
NM_001184667.1	YOR034C-A	2
NM_001183516.1	YOR097C	4
NM_001183522.1	YOR103C	3
NM_001184625.1	YOR161C-C	1
NM_001183602.1	YOR183W	4
NM_001183605.3	YOR186W	4
NM_001348879.1	YOR235W	4
NM_001183703.3	YOR284W	4
NM_001184669.3	YOR293C-A	2
NM_001348880.1	YOR314W	2
NM_001184577.1	YOR316C-A	3
NM_001348881.1	YOR343C	4
NM_001348882.1	YOR376W	4
NM_001184578.1	YOR376W-A	2
NM_001184579.3	YOR381W-A	2
NM_001184626.1	YOR394C-A	1
NM_001183841.1	YPL027W	4
NM_001184580.1	YPL038W-A	1
NM_001183870.1	YPL056C	4
NM_001348885.1	YPL062W	4
NM_001348884.1	YPL080C	2
NM_001184670.1	YPL119C-A	2
NM_001183938.1	YPL124W	4
NM_001184627.1	YPL152W-A	1
NM_001184014.1	YPL200W	4
NM_001184037.1	YPL223C	4
NM_001184064.1	YPL250C	4
NM_001184071.1	YPL257W	4
NM_001348883.1	YPL261C	3
NM_001348886.1	YPR014C	4
NM_001184124.1	YPR027C	4
NM_001348887.1	YPR053C	4
NM_001348888.1	YPR064W	4
NM_001184193.1	YPR096C	4
NM_001184687.1	YPR145C-A	4
NM_001184248.1	YPR151C	4
NM_001348889.1	YPR195C	2
